TP_ORGANIZACAO_ACADEMICA,TP_CATEGORIA_ADMINISTRATIVA,QT_TEC_TOTAL,QT_TEC_FUNDAMENTAL_INCOMP_FEM,QT_TEC_FUNDAMENTAL_INCOMP_MASC,QT_TEC_FUNDAMENTAL_COMP_FEM,QT_TEC_FUNDAMENTAL_COMP_MASC,QT_TEC_MEDIO_FEM,QT_TEC_MEDIO_MASC,QT_TEC_SUPERIOR_FEM,QT_TEC_SUPERIOR_MASC,QT_TEC_ESPECIALIZACAO_FEM,QT_TEC_ESPECIALIZACAO_MASC,QT_TEC_MESTRADO_FEM,QT_TEC_MESTRADO_MASC,QT_TEC_DOUTORADO_FEM,QT_TEC_DOUTORADO_MASC,QT_DOC_TOTAL,QT_DOC_EXE,QT_DOC_EX_FEMI,QT_DOC_EX_MASC,QT_DOC_EX_SEM_GRAD,QT_DOC_EX_GRAD,QT_DOC_EX_ESP,QT_DOC_EX_MEST,QT_DOC_EX_DOUT,QT_DOC_EX_INT,QT_DOC_EX_INT_DE,QT_DOC_EX_INT_SEM_DE,QT_DOC_EX_PARC,QT_DOC_EX_HOR,QT_DOC_EX_0_29,QT_DOC_EX_30_34,QT_DOC_EX_35_39,QT_DOC_EX_40_44,QT_DOC_EX_45_49,QT_DOC_EX_50_54,QT_DOC_EX_55_59,QT_DOC_EX_60_MAIS,QT_DOC_EX_BRANCA,QT_DOC_EX_PRETA,QT_DOC_EX_PARDA,QT_DOC_EX_AMARELA,QT_DOC_EX_INDIGENA,QT_DOC_EX_COR_ND,QT_DOC_EX_BRA,QT_DOC_EX_EST,QT_DOC_EX_COM_DEFICIENCIA
1,5,318,2,6,2,10,87,55,66,46,16,12,4,8,1,3,440,436,204,232,0,0,99,146,191,156,0,156,78,202,4,31,71,73,62,68,53,74,400,2,7,3,0,24,435,1,0
2,5,66,3,0,2,1,6,4,13,3,24,3,1,3,2,1,65,63,20,43,0,0,18,31,14,9,0,9,26,28,1,2,15,12,11,12,7,3,56,0,0,0,0,7,62,1,0
3,5,779,15,17,5,5,57,119,149,283,33,51,5,33,2,5,63,63,9,54,0,0,6,36,21,33,0,33,12,18,5,5,5,13,13,11,11,0,49,0,1,1,0,12,62,1,0
2,5,612,13,17,17,10,66,34,148,61,108,51,24,32,21,10,258,258,142,116,0,0,71,108,79,67,0,67,149,42,13,32,52,47,43,30,27,14,211,11,34,0,0,2,258,0,0
2,5,149,5,5,13,4,41,22,16,14,12,6,1,4,2,4,181,181,106,75,0,2,6,74,99,43,1,42,97,41,10,26,37,47,24,17,14,6,131,1,4,3,0,42,181,0,3
2,5,341,0,0,13,11,98,64,61,38,24,7,9,5,6,5,365,355,212,143,0,0,68,136,151,86,0,86,166,103,5,42,61,56,67,60,33,31,329,1,17,6,2,0,353,2,0
3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,1645,50,105,57,70,501,313,211,134,87,48,24,27,7,11,468,461,209,252,0,0,92,229,140,161,0,161,242,58,20,56,85,77,62,54,50,57,298,20,42,3,0,98,460,1,0
3,5,60,1,1,3,0,2,2,3,2,8,16,13,7,2,0,35,34,15,19,0,0,12,21,1,7,0,7,18,9,0,1,0,7,1,2,9,14,29,0,3,0,0,2,34,0,0
2,5,255,8,9,13,11,40,31,49,38,29,10,11,3,1,2,149,149,71,78,0,0,28,77,44,30,0,30,80,39,6,19,30,28,24,20,8,14,110,3,22,4,0,10,149,0,0
1,5,742,15,18,10,11,230,114,186,67,46,21,16,6,2,0,519,512,237,275,0,0,146,232,134,133,0,133,156,223,15,40,66,84,93,72,59,83,489,10,13,0,0,0,509,3,1
3,5,53,1,8,1,1,19,3,7,1,11,1,0,0,0,0,79,79,52,27,0,0,18,44,17,2,0,2,68,9,0,3,9,18,12,8,10,19,31,3,26,0,0,19,79,0,0
2,4,282,9,3,16,8,39,19,78,44,18,12,13,7,11,5,292,260,134,126,0,1,77,103,79,68,0,68,84,108,3,19,36,50,48,45,28,31,221,0,11,0,1,27,260,0,0
3,2,204,0,5,9,3,40,16,78,37,8,0,1,2,5,0,269,262,138,124,0,0,42,64,156,132,8,124,130,0,0,0,4,3,6,18,50,181,250,0,7,2,0,3,261,1,1
1,5,328,1,7,8,5,68,86,63,35,23,9,13,10,0,0,391,390,186,204,0,1,1,222,166,120,3,117,4,266,7,41,51,91,53,43,47,57,372,2,12,4,0,0,387,3,7
3,5,153,0,0,0,0,14,6,44,16,22,5,24,11,6,5,253,247,72,175,0,1,2,15,229,109,86,23,67,71,2,16,28,32,28,36,45,60,235,4,6,1,0,1,232,15,0
3,5,47,0,2,3,4,10,10,3,7,3,2,2,1,0,0,26,26,9,17,0,0,11,11,4,2,1,1,24,0,1,1,3,2,3,6,3,7,8,5,11,0,1,1,25,1,0
2,5,43,1,0,0,0,13,10,10,6,0,2,1,0,0,0,81,81,40,41,0,0,7,52,22,11,0,11,20,50,2,14,22,16,8,5,4,10,26,2,6,0,0,47,80,1,0
3,4,22,0,1,2,0,2,1,0,0,1,0,6,7,2,0,15,10,4,6,0,0,0,9,1,0,0,0,0,10,2,2,1,0,3,1,1,0,2,0,4,0,0,4,10,0,0
3,5,102,4,2,4,6,14,15,28,8,13,2,3,1,2,0,132,132,85,47,0,0,15,81,36,33,0,33,52,47,4,1,16,22,16,22,19,32,68,1,46,1,0,16,132,0,1
2,5,40,1,4,0,3,1,7,18,2,3,1,0,0,0,0,61,61,27,34,0,0,2,28,31,14,0,14,14,33,0,0,4,5,13,11,11,17,54,4,3,0,0,0,60,1,0
2,5,244,0,1,0,1,45,60,51,39,8,12,9,11,5,2,208,206,78,128,0,0,10,99,97,56,0,56,109,41,2,8,19,27,42,23,30,55,165,4,14,6,0,17,204,2,1
1,4,233,0,0,0,0,5,10,65,62,33,19,16,11,6,6,1746,1746,989,757,0,0,120,725,901,596,0,596,658,492,34,233,341,355,261,203,159,160,393,25,116,5,0,1207,1744,2,11
1,4,401,0,0,6,2,127,79,81,55,22,15,4,7,2,1,534,534,271,263,0,0,25,289,220,209,0,209,115,210,5,28,65,91,87,78,85,95,351,9,54,2,1,117,533,1,1
3,5,30,3,4,2,1,4,2,2,5,1,3,2,1,0,0,49,49,25,24,0,0,9,28,12,6,0,6,23,20,1,4,3,8,6,12,5,10,39,1,2,0,0,7,49,0,0
1,5,421,10,11,6,3,88,55,127,55,33,16,7,5,4,1,304,280,128,152,0,0,35,128,117,81,0,81,104,95,7,14,26,39,47,51,33,63,234,6,17,9,1,13,276,4,1
3,5,14,0,0,1,0,0,3,6,1,2,1,0,0,0,0,17,16,8,8,0,0,5,10,1,0,0,0,4,12,0,1,1,1,5,4,1,3,14,1,0,0,0,1,16,0,0
3,5,65,3,4,4,2,16,7,16,5,3,4,0,1,0,0,36,36,6,30,0,0,3,20,13,11,5,6,13,12,0,1,3,4,6,6,12,4,30,2,0,0,0,4,36,0,0
